,Questionario_Quantidade_Somado,Forum_TempoUso_Somado,Log_Post_Quantidade_Somado,Questionario_TempoUso_Somado,Login_Quantidade,Turno_TempoUsoTotal_Somado,Evadido,CodigoTurma
426,3,7739,47,5340,26,63387,0,5786
427,3,4013,66,1445,21,34022,0,5786
428,1,3173,40,1269,8,21388,0,5786
429,3,5222,49,3319,22,50109,0,5786
430,3,2571,66,3729,17,38395,0,5786
431,3,6893,62,6615,18,52293,0,5786
432,1,2639,9,1257,19,25416,1,5786
433,3,2767,68,2751,8,41728,0,5786
434,2,79,11,3603,18,22651,1,5786
435,3,12382,59,3657,29,63156,0,5786
436,3,975,20,2954,8,20126,0,5786
437,1,0,8,794,0,8323,1,5786
438,2,3476,44,1956,18,51603,0,5786
439,3,1723,45,4144,10,48990,0,5786
440,3,5176,78,14396,6,63408,0,5786
441,3,1765,46,4592,8,16565,0,5786
442,2,2792,43,3137,16,43471,0,5786
443,2,0,15,1997,0,14200,1,5786
444,0,0,3,609,1,4493,1,5786
445,3,3332,53,3826,46,50338,0,5786
446,3,10337,101,2385,43,61095,0,5786
447,2,1734,69,2449,10,40026,0,5786
448,3,17441,231,7353,110,218907,0,5786
449,2,1140,25,2304,8,41799,0,5786
450,2,3215,109,1941,14,86966,0,5786
451,3,780,54,3555,10,28828,0,5786
452,3,3648,45,4698,20,66945,0,5786
453,3,2373,49,2454,13,67369,0,5786
454,3,615,44,4581,5,49738,0,5786
455,3,2363,76,6407,30,65690,0,5786
456,3,13943,302,5268,230,258832,0,5786
457,3,369,25,4778,8,28145,0,5786
458,2,17337,75,3436,27,69752,0,5786
459,3,16045,99,6191,46,103539,0,5786
460,3,8548,49,6962,37,100630,0,5786
461,3,643,28,3369,4,33694,0,5786
462,3,4329,104,5119,11,65998,0,5786
463,2,2631,51,1703,10,44985,0,5786
464,2,5119,40,4217,20,94469,0,5786
465,3,11162,105,4382,48,113534,0,5786
466,0,0,11,0,2,29101,1,5786
467,3,6178,62,4617,38,81268,0,5786
468,3,2455,59,4866,21,63790,0,5786
469,3,7200,52,7615,21,83264,0,5786
470,3,4766,49,4817,14,62746,0,5786
471,3,27325,64,7767,25,115923,0,5786
472,3,3207,35,3381,18,35003,0,5786
473,1,40,20,3151,1,35912,0,5786
474,3,13335,100,8438,39,108779,0,5786
475,1,419,29,2137,3,31454,1,5786
476,3,341,35,4450,4,24559,0,5786
477,1,0,8,319,0,33162,1,5786
478,3,1285,51,4081,9,47849,0,5786
479,3,8088,89,10252,31,113797,0,5786
480,3,6517,54,5868,28,84534,0,5786
481,3,5187,40,5287,56,158069,0,5786
482,3,4096,48,5993,26,87535,0,5786
483,3,10120,168,4732,43,85785,0,5786
484,2,161,30,3524,12,40571,0,5786
485,0,0,4,0,2,12774,0,5786
486,3,10924,73,9379,24,86813,0,5786
487,1,0,23,4979,0,26515,1,5786
488,4,3409,60,4668,29,65112,0,5786
489,1,1232,18,2459,5,54442,0,5786
490,3,15233,128,8056,49,96055,0,5786
491,2,300,35,2133,3,20888,0,5786
492,3,3039,31,3382,11,29196,0,5786
493,3,9085,73,4420,11,87269,0,5786
494,1,0,16,1988,0,11077,1,5786
495,2,0,68,8026,1,45781,0,5786
496,3,5732,93,15202,54,95749,0,5786
497,3,9808,55,8261,37,78956,0,5786
498,3,1545,29,2132,3,22841,0,5786
499,3,10013,64,8182,24,65206,0,5786
500,2,5851,48,3065,13,53656,0,5786
501,3,6045,103,6842,20,91877,0,5786
502,1,998,12,912,4,10611,1,5786
503,3,10897,147,7258,22,90117,0,5786
504,3,4104,36,2842,21,28234,0,5786
505,0,0,0,0,0,2440,1,6019
506,1,976,21,2610,12,34457,0,6019
507,1,19,10,1853,1,4162,0,6019
508,0,0,3,0,1,2485,1,6019
509,3,1711,44,3559,7,30664,1,6019
510,1,633,21,1558,4,21638,0,6019
511,1,0,14,1391,1,13581,0,6019
512,2,553,27,2399,5,13717,0,6019
513,2,906,28,2375,4,34331,0,6019
514,1,0,10,1192,4,15277,1,6019
515,1,4243,31,1908,9,28270,0,6019
516,2,4,34,1940,5,15968,0,6019
517,3,5293,33,4210,15,39786,0,6019
518,2,11466,50,3335,34,42648,0,6019
519,3,4530,40,7250,55,52830,0,6019
520,3,13971,183,11979,65,166667,0,6019
521,0,0,0,0,0,0,1,6019
522,1,1507,33,2103,9,16930,0,6019
523,3,4915,59,5704,13,70344,0,6019
524,2,2312,21,1385,5,23722,0,6019
525,1,576,9,607,14,43903,1,6019
526,2,0,42,3894,2,33154,0,6019
527,0,0,4,694,2,25608,0,6019
528,3,11677,64,10327,30,85831,0,6019
529,1,1914,15,853,12,23766,0,6019
530,1,624,16,1063,8,23179,1,6019
531,0,0,4,0,3,10904,0,6019
532,3,6217,34,4091,30,72416,0,6019
533,3,3420,42,8369,15,53265,0,6019
534,1,0,9,1940,0,15072,1,6019
535,3,4932,82,10398,32,69511,0,6019
536,2,1828,107,2802,6,38507,1,6019
537,1,469,19,3432,3,21276,0,6019
538,1,772,16,2592,1,19065,0,6019
539,2,3027,33,4376,13,37955,0,6019
540,2,2033,28,3442,15,24776,1,6019
541,3,3051,61,3958,25,56862,0,6019
542,3,2441,26,2066,21,30916,0,6019
543,3,1622,33,3404,11,27726,0,6019
544,0,818,4,330,18,20589,1,6019
545,2,5491,53,4732,7,56127,0,6019
546,3,3882,109,2470,22,50473,0,6019
547,2,2191,23,5021,14,43227,0,6019
548,2,1560,31,2261,18,57245,1,6019
549,2,3930,22,3574,27,50014,0,6019
550,1,1733,22,1277,6,26697,0,6019
551,1,901,21,1903,9,46498,0,6019
552,1,1437,38,2984,4,23313,1,6019
553,3,6638,34,5924,49,70749,0,6019
554,2,4115,52,4716,22,47991,0,6019
555,2,0,42,3698,5,35330,0,6019
556,3,3821,58,6077,13,48626,0,6019
557,1,0,9,929,3,5689,0,6019
558,0,0,1,0,0,6163,1,6019
559,3,4562,36,2382,16,32818,0,6019
560,0,0,0,0,0,0,1,6019
561,0,0,0,0,0,8394,1,6019
562,2,603,44,3597,2,39658,0,6019
563,1,304,12,969,8,19895,0,6019
564,0,0,0,0,0,331,1,6019
565,0,0,1,0,0,3842,1,6019
566,1,1637,24,3085,9,41434,0,6019
567,2,1706,40,4168,6,27640,0,6019
568,2,1596,73,7232,22,55239,0,6019
569,2,3998,40,3875,19,39496,0,6019
570,2,2212,34,5152,10,44331,0,6019
571,2,3459,70,3291,7,53924,0,6019
572,2,1670,26,3755,1,19046,0,6019
573,3,3482,31,4015,23,31421,0,6019
574,0,8970,21,41,22,13729,0,6395
575,0,368,15,1559,5,5499,1,6395
576,2,2532,19,3332,9,17685,0,6395
577,2,2183,42,5038,16,28103,0,6395
578,2,5048,61,3455,30,33477,0,6395
579,1,9567,73,4246,40,68981,0,6395
580,1,15,5,1302,3,5829,0,6395
581,0,0,1,0,0,2843,1,6395
582,0,0,1,0,0,4113,1,6395
583,1,0,10,1910,0,23625,1,6395
584,0,0,0,0,0,0,1,6395
585,2,521,75,4029,7,21974,0,6395
586,2,1534,33,3831,17,37729,0,6395
587,0,0,0,0,0,0,1,6395
588,2,5325,66,4836,26,50310,0,6395
589,0,0,2,0,0,5601,1,6395
590,2,16409,67,3240,11,55244,0,6395
591,2,5295,76,4149,27,29445,0,6395
592,0,0,0,0,0,869,1,6395
593,0,0,4,0,0,7789,1,6395
594,1,4417,28,2545,12,29780,1,6395
595,1,22965,79,11128,61,117600,0,6395
596,1,2396,63,5396,30,52472,0,6395
597,2,140,70,2808,16,33138,0,6395
598,0,0,1,0,1,2551,0,6395
599,0,34,3,21,1,12800,0,6395
600,2,4469,58,2820,18,42511,0,6395
601,2,9562,78,6305,34,54934,0,6395
602,1,0,20,2014,0,18574,1,6395
603,1,0,11,908,0,16861,1,6395
604,0,378,5,62,9,22804,1,6395
605,2,6399,30,2095,16,43538,0,6395
606,2,1812,35,4764,12,35704,1,6395
607,1,10566,73,6093,33,64369,0,6395
608,1,10657,63,3316,36,31821,0,6395
609,1,5209,74,2078,11,33934,0,6395
610,3,6246,48,2296,18,37512,0,6547
611,2,5259,32,1342,16,42931,0,6547
612,3,742,80,9040,7,41039,0,6547
613,1,431,13,2083,6,22030,1,6547
614,2,300,16,2900,6,35010,0,6547
615,1,1817,22,2171,6,29167,1,6547
616,3,1227,44,2166,6,18334,0,6547
617,1,1847,32,3056,10,40537,0,6547
618,1,0,12,1669,2,23262,0,6547
619,1,0,15,569,0,20811,0,6547
620,2,4674,35,3069,26,45361,0,6547
621,2,0,30,4999,6,29375,1,6547
622,1,2421,19,898,12,14460,1,6547
623,1,407,5,289,6,16199,1,6547
624,0,2175,0,680,16,18835,0,6547
